puma,year,mergeid,estimate_black_females,estimate_total_pop,percent_black_only,percent_black_women,quantile_black_women,gini_index,percent_second_mortgage,percent_owner_occupied,percent_renter_occupied,percent_vacant_housing,homeowner_vacancy_rate,rental_vacancy_rate,percent_same_house_1_year,percent_no_plumbing,percent_no_kitchen,percent_overcrowding,avg_household_size,percent_owner_cost_burdent,rent_median_dollars,percent_renter_cost_burden,median_value_home,median_income,percent_below_poverty,percent_units_mortgage,percent_hispanic,percent_white_only,percent_american_indian,percent_asian,percent_hawaiian,percent_other_race,percent_twomore_races,disability_status,total_housing_units,num_renter_occupied,num_owner_occupied,num_total_occupied,percent_born_us,english_prof,percent_college,percent_uninsured,percent_unemployed
3604007,2011,3604007 _ 2011,52360,114598,79.6,45.6901516605874,5,0.5102,17.1,19.0,81.0,10.7,3.5,5.2,90.2,0.7,0.8,2.1,2.7,49.7,804,47.0,412900,27254,34.0,77.3,22.7,6.5,0.3,0.7,0.0,11.0,1.7,11.364333333333342,46452,33606,7892,41498,68.4,8.4,11.2,13.429333333333366,8.3
3604008,2011,3604008 _ 2011,46459,150210,53.7,30.929365554889802,5,0.4957,15.4,23.0,77.0,10.1,3.7,5.7,91.9,0.9,0.7,4.4,2.91,61.1,1017,48.8,456600,33502,28.4,79.1,38.6,27.1,0.2,3.8,0.2,13.8,1.1,10.532999999999985,56501,39100,11705,50805,60.7,14.7,13.0,12.777666666666661,5.7
3604009,2011,3604009 _ 2011,70255,202780,62.4,34.6459216885294,5,0.41600000000000004,19.9,59.6,40.4,6.3,1.5,3.1,95.2,0.5,0.7,2.3,3.0,51.6,1164,40.5,495700,63464,9.3,77.7,7.7,29.5,0.1,3.4,0.1,3.3,1.2,9.108999999999984,71554,27117,39960,67077,58.2,13.2,28.1,10.051666666666662,5.1
3604010,2011,3604010 _ 2011,69597,138221,91.0,50.3519725656738,5,0.4402,15.4,34.0,66.0,8.9,0.9,4.6,92.5,0.6,0.6,3.2,2.82,53.4,1071,47.7,444500,46116,12.1,74.9,6.4,2.7,0.1,1.5,0.0,2.9,1.6,9.369333333333325,53339,32050,16533,48583,46.1,8.5,18.9,15.368666666666671,7.2
3604011,2011,3604011 _ 2011,47194,109501,77.3,43.099149779454095,5,0.4549,24.3,16.1,83.9,6.8,1.6,3.3,90.4,0.8,1.0,4.5,2.64,52.2,1021,47.5,582300,39909,18.3,70.3,8.3,15.5,0.2,1.6,0.0,4.4,1.0,10.900999999999991,43671,34149,6534,40683,53.8,11.2,22.1,15.015333333333317,9.7
3604012,2011,3604012 _ 2011,3090,146781,4.6,2.10517710057841,2,0.4767,18.4,26.5,73.5,6.2,2.0,3.1,87.2,1.1,1.4,7.4,3.04,47.8,1130,48.7,630000,41917,22.2,57.6,42.3,41.6,1.5,29.5,0.1,20.7,2.0,10.518666666666645,50480,34772,12563,47335,47.1,47.2,24.1,18.256666666666682,6.0
3604013,2011,3604013 _ 2011,1089,127173,1.7,0.8563138402019301,1,0.4671,16.8,39.1,60.9,5.7,1.0,3.2,90.9,0.4,0.8,2.8,2.53,37.0,1191,42.0,635600,54777,11.8,56.8,13.1,69.5,0.3,22.3,0.1,4.4,1.7,9.359666666666662,52859,30379,19468,49847,61.3,26.9,36.0,10.806333333333345,4.9
3604014,2011,3604014 _ 2011,2213,163324,2.6,1.3549753863486103,1,0.4752,24.6,31.7,68.3,6.7,1.5,3.2,93.3,0.5,0.8,6.2,3.41,58.2,1158,57.3,651900,40502,24.2,54.4,11.3,76.8,0.1,13.3,0.0,6.4,0.9,9.859666666666667,50856,32409,15019,47428,64.0,32.1,25.0,11.858333333333361,4.3
3604015,2011,3604015 _ 2011,32466,158704,36.3,20.4569513055752,4,0.4899,23.5,22.6,77.4,6.4,2.4,3.4,93.7,1.0,1.0,5.0,2.79,42.6,1096,47.4,628200,43121,18.2,64.2,14.8,45.0,0.2,8.9,0.0,7.9,1.7,12.324000000000003,60388,43735,12776,56511,52.7,27.2,31.5,13.16833333333334,5.6
3604016,2011,3604016 _ 2011,2852,140039,3.6,2.03657552538936,2,0.4694,19.6,45.7,54.3,7.8,3.1,3.9,93.9,0.4,0.8,2.1,2.54,44.9,1046,45.8,571000,48818,10.9,57.1,7.6,76.6,0.1,16.3,0.0,2.4,1.0,13.620000000000003,59199,29643,24930,54573,53.5,35.1,34.5,9.085999999999997,4.3
