zip,month,year,price_index
10003,Feb,2015,$1.12M
10003,Nov,2015,$1.19M
10003,Feb,2016,$1.15M
10003,Oct,2016,$1.14M
10003,Jan,2017,$1.14M
10003,Jul,2017,$1.13M
10003,Dec,2017,$1.07M
10003,Jun,2018,$1.10M
10003,Nov,2019,$1.13M
10003,Feb,2020,$1.10M
10003,Aug,2020,$1.02M
10003,Oct,2020,$1.02M
10003,Dec,2020,$996K
10003,Feb,2021,$980K
10003,May,2021,$977K
10003,Jun,2021,$979K
10003,Aug,2021,$984K
10003,Oct,2021,$987K
10003,Dec,2021,$996K
10003,Mar,2021,$974K
10003,Nov,2020,$1.01M
10003,Aug,2019,$1.17M
10003,Jun,2019,$1.16M
10003,Nov,2018,$1.16M
10003,May,2018,$1.10M
10003,Nov,2017,$1.08M
10003,Apr,2017,$1.15M
10003,Nov,2016,$1.14M
10003,Sep,2016,$1.14M
10003,Jul,2016,$1.14M
10003,May,2016,$1.14M
10003,Mar,2016,$1.14M
10003,Oct,2015,$1.18M
10003,Mar,2015,$1.13M
10003,Nov,2014,$1.07M
10003,Aug,2014,$1.04M
10003,May,2014,$1.02M
10003,Feb,2014,$975K
10003,Nov,2013,$948K
10003,Oct,2013,$943K
10003,Jun,2013,$915K
10003,Feb,2013,$890K
10003,Jan,2012,$902K
10003,Sep,2011,$883K
10003,Aug,2011,$879K
10003,Apr,2011,$848K
10003,Mar,2011,$839K
10003,Aug,2013,$937K
10003,Dec,2015,$1.20M
10003,Apr,2019,$1.15M
10003,Apr,2021,$976K
10003,Oct,2011,$888K
10003,Jul,2011,$876K
10003,Oct,2018,$1.16M
10003,Dec,2011,$902K
10003,Sep,2015,$1.17M
10003,Jun,2020,$1.05M
10003,Aug,2012,$874K
10003,Mar,2019,$1.17M
10003,Mar,2020,$1.08M
10003,Jun,2016,$1.14M
10003,Apr,2013,$904K
10003,Jun,2012,$877K
10003,Jul,2014,$1.03M
10003,Jan,2019,$1.17M
10003,May,2019,$1.15M
10003,Dec,2019,$1.13M
10003,May,2020,$1.07M
10003,Aug,2018,$1.12M
10003,Oct,2019,$1.13M
10003,Jul,2020,$1.03M
10003,Jan,2018,$1.07M
10003,Apr,2018,$1.10M
10003,Dec,2016,$1.14M
10003,Jun,2015,$1.15M
10003,Mar,2017,$1.15M
10003,Mar,2018,$1.09M
10003,Apr,2014,$1.00M
10003,Sep,2014,$1.05M
10003,May,2015,$1.15M
10003,Jan,2015,$1.10M
10003,Apr,2012,$883K
10003,May,2011,$859K
10003,Jul,2012,$874K
10003,Jun,2017,$1.13M
10003,Apr,2020,$1.08M
10003,Sep,2017,$1.10M
10003,Jan,2014,$967K
10003,Jun,2011,$871K
10003,Dec,2018,$1.17M
10003,Sep,2019,$1.15M
10003,Sep,2020,$1.02M
10003,Jul,2021,$981K
10003,Nov,2021,$990K
10003,Oct,2017,$1.08M
10003,Feb,2019,$1.18M
10003,Sep,2021,$986K
10003,Aug,2016,$1.14M
10003,Apr,2016,$1.14M
10003,May,2017,$1.14M
10003,Sep,2018,$1.14M
10003,Oct,2014,$1.06M
10003,Nov,2011,$896K
10003,Jan,2020,$1.12M
10003,Feb,2012,$897K
10003,Oct,2012,$879K
10003,Apr,2015,$1.14M
10003,May,2013,$911K
10003,Jan,2016,$1.18M
10004,Jan,2022,$1.02M
10004,Mar,2011,$778K
10004,May,2011,$786K
10004,Sep,2011,$775K
10004,Nov,2011,$782K
10004,Mar,2012,$773K
10004,May,2012,$776K
10004,Nov,2012,$794K
10004,Jun,2013,$834K
10004,Nov,2013,$876K
10004,Feb,2015,$1.03M
10004,Sep,2015,$1.06M
10004,May,2016,$1.04M
10004,Sep,2016,$1.02M
10004,Jul,2017,$1.10M
10004,Feb,2018,$1.13M
10004,Jul,2018,$1.11M
10004,Oct,2018,$1.17M
10004,Dec,2018,$1.13M
10004,Feb,2019,$1.09M
10004,Jul,2019,$1.04M
10004,Apr,2020,$976K
10004,Nov,2021,$1.01M
10004,Jun,2021,$990K
10004,Nov,2019,$961K
10004,Nov,2017,$1.11M
10004,Aug,2016,$1.02M
10004,Jun,2015,$1.04M
10004,Dec,2014,$1.01M
10004,Mar,2014,$917K
10004,Jul,2013,$842K
10004,Apr,2013,$822K
10004,Feb,2013,$807K
10004,Jul,2012,$787K
10004,Apr,2012,$775K
10004,Dec,2011,$784K
10004,Oct,2013,$868K
10004,Dec,2015,$1.08M
10004,Oct,2016,$1.02M
10004,Nov,2018,$1.17M
10004,Nov,2020,$974K
